发票号,超市,所在城市,客户类型,客户性别,商品类别,单价,购买数量,税额,总价,购买时间,支付方式,销售成本,毛利,客户满意度,交易时间,交易日,交易月,交易年,交易小时,经度,纬度
400-89-4171,C,内比都,非会员,女性,运动与旅行,80.97,8,32.388000000000005,680.148,13:05,现金,647.76,32.388000000000005,9.3,2019-01-28,28,1,2019,13,19.7633,96.0785
782-95-9291,A,仰光,会员,男性,饮食,92.29,5,23.0725,484.5225,15:55,信用卡,461.45,23.0725,9.0,2019-02-20,20,2,2019,15,16.8661,96.1951
279-74-2924,B,曼德勒,会员,男性,电子配件,72.17,1,3.6085,75.7785,19:40,现金,72.17,3.6085,6.1,2019-01-04,4,1,2019,19,21.9588,96.0891
307-85-2293,B,曼德勒,非会员,男性,生活家居,50.28,5,12.57,263.97,13:58,电子钱包,251.4,12.57,9.7,2019-03-07,7,3,2019,13,21.9588,96.0891
743-04-1105,B,曼德勒,会员,男性,健康与美容,97.22,9,43.748999999999995,918.7289999999999,14:43,电子钱包,874.98,43.748999999999995,6.0,2019-03-30,30,3,2019,14,21.9588,96.0891
423-57-2993,B,曼德勒,非会员,男性,运动与旅行,93.39,6,28.017,588.357,19:18,电子钱包,560.34,28.017,10.0,2019-03-27,27,3,2019,19,21.9588,96.0891
894-41-5205,C,内比都,非会员,女性,饮食,43.18,8,17.272000000000002,362.712,19:39,信用卡,345.44,17.272000000000002,8.3,2019-01-19,19,1,2019,19,19.7633,96.0785
275-28-0149,A,仰光,非会员,男性,运动与旅行,63.69,1,3.1845,66.8745,16:21,现金,63.69,3.1845,6.0,2019-02-25,25,2,2019,16,16.8661,96.1951
101-17-6199,A,仰光,非会员,男性,饮食,45.79,7,16.0265,336.5565,19:44,信用卡,320.53,16.0265,7.0,2019-03-13,13,3,2019,19,16.8661,96.1951
423-80-0988,C,内比都,非会员,男性,运动与旅行,76.4,2,7.64,160.44,19:42,电子钱包,152.8,7.64,6.5,2019-01-30,30,1,2019,19,19.7633,96.0785
548-46-9322,B,曼德勒,非会员,男性,饮食,39.9,10,19.95,418.95,15:24,信用卡,399.0,19.95,5.9,2019-02-20,20,2,2019,15,21.9588,96.0891
505-02-0892,B,曼德勒,会员,男性,健康与美容,42.57,8,17.028,357.588,14:12,电子钱包,340.56,17.028,5.6,2019-02-25,25,2,2019,14,21.9588,96.0891
234-65-2137,C,内比都,非会员,男性,生活家居,95.58,10,47.79,1003.59,13:32,现金,955.8,47.79,4.8,2019-01-16,16,1,2019,13,19.7633,96.0785
687-47-8271,A,仰光,非会员,男性,时尚配饰,98.98,10,49.49,1039.29,16:20,信用卡,989.8,49.49,8.7,2019-02-08,8,2,2019,16,16.8661,96.1951
796-32-9050,A,仰光,非会员,男性,饮食,51.28,6,15.384,323.064,16:31,现金,307.68,15.384,6.5,2019-01-19,19,1,2019,16,16.8661,96.1951
105-31-1824,A,仰光,会员,男性,运动与旅行,69.52,7,24.331999999999997,510.972,15:10,信用卡,486.64,24.331999999999997,8.5,2019-02-01,1,2,2019,15,16.8661,96.1951
249-42-3782,A,仰光,非会员,男性,健康与美容,70.01,5,17.5025,367.5525,11:36,电子钱包,350.05,17.5025,5.5,2019-01-03,3,1,2019,11,16.8661,96.1951
316-55-4634,B,曼德勒,会员,男性,饮食,80.05,5,20.0125,420.2625,12:45,信用卡,400.25,20.0125,9.4,2019-01-26,26,1,2019,12,21.9588,96.0891
733-33-4967,C,内比都,非会员,男性,电子配件,20.85,8,8.34,175.14,19:17,现金,166.8,8.34,6.3,2019-03-03,3,3,2019,19,19.7633,96.0785
608-27-6295,B,曼德勒,会员,男性,电子配件,52.89,6,15.867,333.207,17:34,信用卡,317.34,15.867,9.8,2019-01-19,19,1,2019,17,21.9588,96.0891
414-12-7047,B,曼德勒,非会员,男性,饮食,19.79,8,7.916,166.236,12:04,电子钱包,158.32,7.916,8.7,2019-01-18,18,1,2019,12,21.9588,96.0891
827-26-2100,A,仰光,会员,男性,生活家居,33.84,9,15.228,319.788,16:21,电子钱包,304.56,15.228,8.8,2019-03-21,21,3,2019,16,16.8661,96.1951
175-54-2529,A,仰光,会员,男性,饮食,22.17,8,8.868,186.22799999999998,17:01,信用卡,177.36,8.868,9.6,2019-03-03,3,3,2019,17,16.8661,96.1951
139-52-2867,C,内比都,非会员,女性,时尚配饰,22.51,7,7.8785,165.4485,10:50,信用卡,157.57,7.8785,4.8,2019-02-13,13,2,2019,10,19.7633,96.0785
407-63-8975,A,仰光,非会员,男性,饮食,73.88,6,22.164,465.444,19:16,电子钱包,443.28,22.164,4.4,2019-03-23,23,3,2019,19,16.8661,96.1951
342-65-4817,C,内比都,会员,男性,健康与美容,86.8,3,13.02,273.42,16:47,电子钱包,260.4,13.02,9.9,2019-01-28,28,1,2019,16,19.7633,96.0785
130-98-8941,C,内比都,非会员,男性,时尚配饰,64.26,7,22.491,472.311,10:00,现金,449.82,22.491,5.7,2019-02-09,9,2,2019,10,19.7633,96.0785
434-83-9547,C,内比都,会员,男性,饮食,38.47,8,15.388,323.14799999999997,11:51,现金,307.76,15.388,7.7,2019-01-23,23,1,2019,11,19.7633,96.0785
851-28-6367,A,仰光,会员,男性,运动与旅行,15.5,10,7.75,162.75,10:55,电子钱包,155.0,7.75,8.0,2019-03-23,23,3,2019,10,16.8661,96.1951
824-88-3614,C,内比都,非会员,男性,健康与美容,34.31,8,13.724,288.204,15:00,电子钱包,274.48,13.724,5.7,2019-01-25,25,1,2019,15,19.7633,96.0785
586-25-0848,A,仰光,非会员,女性,运动与旅行,12.34,7,4.319,90.699,11:19,信用卡,86.38,4.319,6.7,2019-03-04,4,3,2019,11,16.8661,96.1951
895-66-0685,B,曼德勒,会员,男性,饮食,18.08,3,2.7119999999999997,56.952,19:46,电子钱包,54.24,2.7119999999999997,8.0,2019-03-05,5,3,2019,19,21.9588,96.0891
305-14-0245,B,曼德勒,会员,女性,生活家居,94.49,8,37.796,793.716,19:00,电子钱包,755.92,37.796,7.5,2019-03-03,3,3,2019,19,21.9588,96.0891
732-04-5373,B,曼德勒,会员,男性,生活家居,46.47,4,9.294,195.174,10:53,现金,185.88,9.294,7.0,2019-02-08,8,2,2019,10,21.9588,96.0891
400-60-7251,A,仰光,非会员,男性,生活家居,74.07,1,3.7035,77.7735,12:50,电子钱包,74.07,3.7035,9.9,2019-02-10,10,2,2019,12,16.8661,96.1951
593-65-1552,C,内比都,非会员,女性,生活家居,69.81,4,13.962,293.202,20:50,信用卡,279.24,13.962,5.9,2019-01-28,28,1,2019,20,19.7633,96.0785
284-34-9626,B,曼德勒,非会员,女性,生活家居,77.04,3,11.556,242.676,10:39,信用卡,231.12,11.556,7.2,2019-02-11,11,2,2019,10,21.9588,96.0891
437-58-8131,B,曼德勒,非会员,女性,时尚配饰,73.52,2,7.352,154.392,13:41,电子钱包,147.04,7.352,4.6,2019-01-15,15,1,2019,13,21.9588,96.0891
286-43-6208,C,内比都,非会员,女性,饮食,87.8,9,39.51,829.71,19:08,现金,790.2,39.51,9.2,2019-03-16,16,3,2019,19,19.7633,96.0785
641-43-2399,B,曼德勒,非会员,男性,生活家居,25.55,4,5.11,107.31,20:23,电子钱包,102.2,5.11,5.7,2019-01-26,26,1,2019,20,21.9588,96.0891
831-07-6050,A,仰光,非会员,男性,电子配件,32.71,5,8.1775,171.7275,11:30,信用卡,163.55,8.1775,9.9,2019-03-19,19,3,2019,11,16.8661,96.1951
556-86-3144,C,内比都,会员,女性,时尚配饰,74.29,1,3.7145,78.0045,19:30,现金,74.29,3.7145,5.0,2019-01-13,13,1,2019,19,19.7633,96.0785
848-24-9445,C,内比都,会员,男性,健康与美容,43.7,2,4.37,91.77,18:03,现金,87.4,4.37,4.9,2019-03-26,26,3,2019,18,19.7633,96.0785
856-22-8149,A,仰光,非会员,女性,生活家居,25.29,1,1.2645,26.5545,10:13,电子钱包,25.29,1.2645,6.1,2019-03-23,23,3,2019,10,16.8661,96.1951
699-01-4164,C,内比都,非会员,男性,健康与美容,41.5,4,8.3,174.3,19:58,信用卡,166.0,8.3,8.2,2019-03-12,12,3,2019,19,19.7633,96.0785
420-11-4919,C,内比都,会员,女性,饮食,71.39,5,17.8475,374.7975,19:57,信用卡,356.95,17.8475,5.5,2019-02-17,17,2,2019,19,19.7633,96.0785
606-80-4905,C,内比都,会员,女性,运动与旅行,19.15,6,5.745,120.645,10:01,信用卡,114.9,5.745,6.8,2019-01-29,29,1,2019,10,19.7633,96.0785
542-41-0513,B,曼德勒,会员,女性,电子配件,57.49,4,11.498,241.458,11:57,现金,229.96,11.498,6.6,2019-03-15,15,3,2019,11,21.9588,96.0891
426-39-2418,C,内比都,非会员,男性,电子配件,61.41,7,21.4935,451.3635,10:02,现金,429.87,21.4935,9.8,2019-01-14,14,1,2019,10,19.7633,96.0785
875-46-5808,B,曼德勒,会员,男性,健康与美容,25.9,10,12.95,271.95,14:51,电子钱包,259.0,12.95,8.7,2019-02-06,6,2,2019,14,21.9588,96.0891
394-43-4238,B,曼德勒,会员,男性,生活家居,17.77,5,4.4425,93.2925,12:42,信用卡,88.85,4.4425,5.4,2019-02-15,15,2,2019,12,21.9588,96.0891
749-24-1565,A,仰光,非会员,女性,健康与美容,23.03,9,10.3635,217.6335,12:02,电子钱包,207.27,10.3635,7.9,2019-01-03,3,1,2019,12,16.8661,96.1951
672-51-8681,C,内比都,会员,女性,电子配件,66.65,9,29.9925,629.8425,18:19,信用卡,599.85,29.9925,9.7,2019-01-04,4,1,2019,18,19.7633,96.0785
263-87-5680,C,内比都,会员,女性,生活家居,28.53,10,14.265,299.565,17:38,电子钱包,285.3,14.265,7.8,2019-03-18,18,3,2019,17,19.7633,96.0785
573-58-9734,B,曼德勒,非会员,女性,时尚配饰,30.37,3,4.5555,95.6655,13:41,电子钱包,91.11,4.5555,5.1,2019-03-28,28,3,2019,13,21.9588,96.0891
817-69-8206,B,曼德勒,非会员,女性,电子配件,99.73,9,44.8785,942.4485,19:42,信用卡,897.57,44.8785,6.5,2019-03-02,2,3,2019,19,21.9588,96.0891
888-02-0338,A,仰光,非会员,男性,电子配件,26.23,9,11.8035,247.8735,20:24,电子钱包,236.07,11.8035,5.9,2019-01-25,25,1,2019,20,16.8661,96.1951
677-11-0152,C,内比都,非会员,女性,饮食,93.26,9,41.967,881.307,18:08,现金,839.34,41.967,8.8,2019-01-16,16,1,2019,18,19.7633,96.0785
142-63-6033,B,曼德勒,非会员,男性,生活家居,92.36,5,23.09,484.89,19:17,电子钱包,461.8,23.09,4.9,2019-03-20,20,3,2019,19,21.9588,96.0891
656-16-1063,B,曼德勒,非会员,男性,运动与旅行,46.42,3,6.962999999999999,146.22299999999998,13:24,信用卡,139.26,6.962999999999999,4.4,2019-01-04,4,1,2019,13,21.9588,96.0891
891-58-8335,B,曼德勒,会员,女性,运动与旅行,29.61,7,10.3635,217.6335,15:53,现金,207.27,10.3635,6.5,2019-03-11,11,3,2019,15,21.9588,96.0891
802-43-8934,A,仰光,非会员,男性,生活家居,18.28,1,0.914,19.194000000000003,15:05,信用卡,18.28,0.914,8.3,2019-03-22,22,3,2019,15,16.8661,96.1951
560-30-5617,B,曼德勒,非会员,女性,运动与旅行,24.77,5,6.1925,130.0425,18:27,现金,123.85,6.1925,8.5,2019-03-24,24,3,2019,18,21.9588,96.0891
319-74-2561,A,仰光,会员,女性,电子配件,94.64,3,14.196,298.116,16:55,现金,283.92,14.196,5.5,2019-02-21,21,2,2019,16,16.8661,96.1951
549-03-9315,B,曼德勒,非会员,男性,时尚配饰,94.87,8,37.948,796.908,12:58,电子钱包,758.96,37.948,8.7,2019-02-12,12,2,2019,12,21.9588,96.0891
790-29-1172,B,曼德勒,非会员,女性,饮食,57.34,3,8.601,180.62099999999998,18:59,信用卡,172.02,8.601,7.9,2019-03-10,10,3,2019,18,21.9588,96.0891
239-36-3640,B,曼德勒,非会员,男性,电子配件,45.35,6,13.605,285.705,13:44,电子钱包,272.1,13.605,6.1,2019-01-31,31,1,2019,13,21.9588,96.0891
468-01-2051,B,曼德勒,非会员,男性,饮食,62.08,7,21.728,456.288,13:46,电子钱包,434.56,21.728,5.4,2019-03-06,6,3,2019,13,21.9588,96.0891
389-25-3394,C,内比都,非会员,男性,电子配件,11.81,5,2.9525,62.0025,18:06,现金,59.05,2.9525,9.4,2019-02-17,17,2,2019,18,19.7633,96.0785
279-62-1445,C,内比都,会员,女性,时尚配饰,12.54,1,0.627,13.167,12:38,现金,12.54,0.627,8.2,2019-02-21,21,2,2019,12,19.7633,96.0785
213-72-6612,A,仰光,非会员,男性,饮食,43.25,2,4.325,90.825,15:56,现金,86.5,4.325,6.2,2019-03-20,20,3,2019,15,16.8661,96.1951
746-68-6593,C,内比都,会员,女性,运动与旅行,87.16,2,8.716000000000001,183.03599999999997,14:29,信用卡,174.32,8.716000000000001,9.7,2019-01-11,11,1,2019,14,19.7633,96.0785
836-82-5858,B,曼德勒,会员,男性,健康与美容,69.37,9,31.2165,655.5465,19:14,电子钱包,624.33,31.2165,4.0,2019-01-26,26,1,2019,19,21.9588,96.0891
583-72-1480,C,内比都,会员,男性,电子配件,37.06,4,7.412000000000001,155.65200000000002,16:24,电子钱包,148.24,7.412000000000001,9.7,2019-01-31,31,1,2019,16,19.7633,96.0785
466-61-5506,B,曼德勒,会员,女性,电子配件,90.7,6,27.21,571.41,10:52,现金,544.2,27.21,5.3,2019-02-26,26,2,2019,10,21.9588,96.0891
721-86-6247,A,仰光,非会员,女性,生活家居,63.42,8,25.368000000000002,532.7280000000001,12:55,电子钱包,507.36,25.368000000000002,7.4,2019-03-11,11,3,2019,12,16.8661,96.1951
289-65-5721,B,曼德勒,非会员,女性,时尚配饰,81.37,2,8.137,170.877,19:28,现金,162.74,8.137,6.5,2019-01-26,26,1,2019,19,21.9588,96.0891
545-46-3100,B,曼德勒,会员,女性,电子配件,10.59,3,1.5885,33.3585,13:52,信用卡,31.77,1.5885,8.7,2019-03-12,12,3,2019,13,21.9588,96.0891
418-02-5978,B,曼德勒,非会员,女性,健康与美容,84.09,9,37.8405,794.6505,10:54,现金,756.81,37.8405,8.0,2019-02-11,11,2,2019,10,21.9588,96.0891
269-04-5750,B,曼德勒,会员,男性,时尚配饰,73.82,4,14.764000000000001,310.04400000000004,18:31,现金,295.28,14.764000000000001,6.7,2019-02-21,21,2,2019,18,21.9588,96.0891
157-13-5295,A,仰光,会员,男性,健康与美容,51.94,10,25.97,545.37,18:24,电子钱包,519.4,25.97,6.5,2019-03-09,9,3,2019,18,16.8661,96.1951
645-78-8093,A,仰光,非会员,女性,运动与旅行,93.14,2,9.314,195.59400000000002,18:09,电子钱包,186.28,9.314,4.1,2019-01-20,20,1,2019,18,16.8661,96.1951
211-30-9270,C,内比都,非会员,男性,健康与美容,17.41,5,4.3525,91.4025,15:16,信用卡,87.05,4.3525,4.9,2019-01-28,28,1,2019,15,19.7633,96.0785
755-12-3214,C,内比都,会员,女性,时尚配饰,44.22,5,11.055,232.155,17:07,信用卡,221.1,11.055,8.6,2019-03-05,5,3,2019,17,19.7633,96.0785
346-84-3103,B,曼德勒,会员,女性,电子配件,13.22,5,3.305,69.405,19:26,现金,66.1,3.305,4.3,2019-03-02,2,3,2019,19,21.9588,96.0891
478-06-7835,A,仰光,非会员,男性,时尚配饰,89.69,1,4.4845,94.1745,11:20,电子钱包,89.69,4.4845,4.9,2019-01-11,11,1,2019,11,16.8661,96.1951
540-11-4336,A,仰光,非会员,男性,饮食,24.94,9,11.222999999999999,235.683,16:49,信用卡,224.46,11.222999999999999,5.6,2019-01-11,11,1,2019,16,16.8661,96.1951
448-81-5016,A,仰光,非会员,男性,健康与美容,59.77,2,5.977,125.51700000000001,12:01,信用卡,119.54,5.977,5.8,2019-03-11,11,3,2019,12,16.8661,96.1951
142-72-4741,C,内比都,会员,男性,时尚配饰,93.2,2,9.32,195.72,18:37,信用卡,186.4,9.32,6.0,2019-02-28,28,2,2019,18,19.7633,96.0785
217-58-1179,A,仰光,会员,男性,生活家居,62.65,4,12.53,263.13,11:25,现金,250.6,12.53,4.2,2019-01-05,5,1,2019,11,16.8661,96.1951
376-02-8238,B,曼德勒,非会员,男性,生活家居,93.87,8,37.548,788.508,18:42,信用卡,750.96,37.548,8.3,2019-02-02,2,2,2019,18,21.9588,96.0891
530-90-9855,A,仰光,会员,男性,生活家居,47.59,8,19.035999999999998,399.756,14:47,现金,380.72,19.035999999999998,5.7,2019-01-01,1,1,2019,14,16.8661,96.1951
866-05-7563,B,曼德勒,会员,女性,电子配件,81.4,3,12.21,256.41,19:43,现金,244.2,12.21,4.8,2019-02-09,9,2,2019,19,21.9588,96.0891
604-70-6476,A,仰光,会员,男性,时尚配饰,17.94,5,4.485,94.185,14:04,电子钱包,89.7,4.485,6.8,2019-01-23,23,1,2019,14,16.8661,96.1951
799-71-1548,A,仰光,会员,男性,电子配件,77.72,4,15.544,326.42400000000004,16:11,信用卡,310.88,15.544,8.8,2019-01-07,7,1,2019,16,16.8661,96.1951
785-13-7708,B,曼德勒,非会员,男性,饮食,73.06,7,25.570999999999998,536.991,19:06,信用卡,511.42,25.570999999999998,4.2,2019-01-14,14,1,2019,19,21.9588,96.0891
845-51-0542,B,曼德勒,会员,男性,饮食,46.55,9,20.9475,439.8975,15:34,电子钱包,418.95,20.9475,6.4,2019-02-02,2,2,2019,15,21.9588,96.0891
662-47-5456,C,内比都,会员,男性,时尚配饰,35.19,10,17.595,369.495,19:06,信用卡,351.9,17.595,8.4,2019-03-17,17,3,2019,19,19.7633,96.0785
883-17-4236,C,内比都,非会员,女性,运动与旅行,14.39,2,1.439,30.219,19:44,信用卡,28.78,1.439,7.2,2019-03-02,2,3,2019,19,19.7633,96.0785
290-68-2984,A,仰光,非会员,男性,生活家居,23.75,4,4.75,99.75,11:22,现金,95.0,4.75,5.2,2019-03-16,16,3,2019,11,16.8661,96.1951
704-11-6354,A,仰光,会员,男性,生活家居,58.9,8,23.56,494.76,11:23,现金,471.2,23.56,8.9,2019-01-06,6,1,2019,11,16.8661,96.1951
110-48-7033,B,曼德勒,会员,男性,时尚配饰,32.62,4,6.524,137.004,14:12,现金,130.48,6.524,9.0,2019-01-29,29,1,2019,14,21.9588,96.0891
366-93-0948,A,仰光,会员,男性,电子配件,66.35,1,3.3175,69.6675,10:46,信用卡,66.35,3.3175,9.7,2019-01-31,31,1,2019,10,16.8661,96.1951
729-09-9681,A,仰光,会员,男性,生活家居,25.91,6,7.773,163.233,10:16,电子钱包,155.46,7.773,8.7,2019-02-05,5,2,2019,10,16.8661,96.1951
151-16-1484,A,仰光,会员,男性,电子配件,32.25,4,6.45,135.45,12:38,电子钱包,129.0,6.45,6.5,2019-02-13,13,2,2019,12,16.8661,96.1951
380-94-4661,C,内比都,会员,男性,电子配件,65.94,4,13.187999999999999,276.948,13:05,信用卡,263.76,13.187999999999999,6.9,2019-02-07,7,2,2019,13,19.7633,96.0785
850-41-9669,A,仰光,非会员,女性,电子配件,75.06,9,33.777,709.317,13:25,电子钱包,675.54,33.777,6.2,2019-03-19,19,3,2019,13,16.8661,96.1951
821-07-3596,C,内比都,非会员,女性,时尚配饰,16.45,4,3.29,69.09,14:53,电子钱包,65.8,3.29,5.6,2019-03-07,7,3,2019,14,19.7633,96.0785
655-85-5130,B,曼德勒,会员,女性,时尚配饰,38.3,4,7.66,160.86,19:22,现金,153.2,7.66,5.7,2019-03-13,13,3,2019,19,21.9588,96.0891
447-15-7839,A,仰光,会员,女性,运动与旅行,22.24,10,11.12,233.52,11:00,现金,222.4,11.12,4.2,2019-02-09,9,2,2019,11,16.8661,96.1951
154-74-7179,B,曼德勒,非会员,男性,运动与旅行,54.45,1,2.7225,57.1725,19:24,电子钱包,54.45,2.7225,7.9,2019-02-26,26,2,2019,19,21.9588,96.0891
253-12-6086,A,仰光,会员,女性,运动与旅行,98.4,7,34.44,723.24,12:43,信用卡,688.8,34.44,8.7,2019-03-12,12,3,2019,12,16.8661,96.1951
808-65-0703,C,内比都,非会员,男性,生活家居,35.47,4,7.093999999999999,148.974,17:22,信用卡,141.88,7.093999999999999,6.9,2019-03-14,14,3,2019,17,19.7633,96.0785
571-94-0759,B,曼德勒,会员,女性,饮食,74.6,10,37.3,783.3,20:55,现金,746.0,37.3,9.5,2019-01-08,8,1,2019,20,21.9588,96.0891
144-51-6085,A,仰光,会员,男性,生活家居,70.74,4,14.148,297.108,16:05,信用卡,282.96,14.148,4.4,2019-01-05,5,1,2019,16,16.8661,96.1951
731-14-2199,A,仰光,会员,女性,生活家居,35.54,10,17.77,373.17,13:34,电子钱包,355.4,17.77,7.0,2019-01-04,4,1,2019,13,16.8661,96.1951
783-09-1637,B,曼德勒,非会员,女性,运动与旅行,67.43,5,16.8575,354.0075,18:13,电子钱包,337.15,16.8575,6.3,2019-03-06,6,3,2019,18,21.9588,96.0891
687-15-1097,C,内比都,会员,女性,健康与美容,21.12,2,2.112,44.352,19:17,现金,42.24,2.112,9.7,2019-01-03,3,1,2019,19,19.7633,96.0785
126-54-1082,A,仰光,会员,女性,生活家居,21.54,9,9.693,203.553,11:44,信用卡,193.86,9.693,8.8,2019-01-07,7,1,2019,11,16.8661,96.1951
633-91-1052,A,仰光,非会员,女性,生活家居,12.03,2,1.203,25.263,15:51,现金,24.06,1.203,5.1,2019-01-27,27,1,2019,15,16.8661,96.1951
477-24-6490,B,曼德勒,非会员,女性,健康与美容,99.71,6,29.913,628.173,16:52,电子钱包,598.26,29.913,7.9,2019-02-26,26,2,2019,16,21.9588,96.0891
566-19-5475,B,曼德勒,非会员,男性,时尚配饰,47.97,7,16.7895,352.5795,20:52,现金,335.79,16.7895,6.2,2019-01-07,7,1,2019,20,21.9588,96.0891
526-86-8552,C,内比都,会员,女性,生活家居,21.82,10,10.91,229.11,17:36,现金,218.2,10.91,7.1,2019-01-07,7,1,2019,17,19.7633,96.0785
376-56-3573,C,内比都,非会员,女性,时尚配饰,95.42,4,19.084,400.764,13:23,电子钱包,381.68,19.084,6.4,2019-02-02,2,2,2019,13,19.7633,96.0785
537-72-0426,C,内比都,会员,男性,时尚配饰,70.99,10,35.495,745.395,16:28,现金,709.9,35.495,5.7,2019-03-20,20,3,2019,16,19.7633,96.0785
828-61-5674,A,仰光,会员,男性,运动与旅行,44.02,10,22.01,462.21,19:57,信用卡,440.2,22.01,9.6,2019-03-20,20,3,2019,19,16.8661,96.1951
136-08-6195,A,仰光,非会员,女性,生活家居,69.96,8,27.984,587.664,17:01,信用卡,559.68,27.984,6.4,2019-02-15,15,2,2019,17,16.8661,96.1951
523-38-0215,C,内比都,非会员,男性,生活家居,37.0,1,1.85,38.85,13:29,信用卡,37.0,1.85,7.9,2019-03-06,6,3,2019,13,19.7633,96.0785
490-29-1201,A,仰光,非会员,女性,运动与旅行,15.34,1,0.767,16.107,11:09,现金,15.34,0.767,6.5,2019-01-06,6,1,2019,11,16.8661,96.1951
667-92-0055,A,仰光,会员,男性,健康与美容,99.83,6,29.949,628.929,15:02,电子钱包,598.98,29.949,8.5,2019-03-04,4,3,2019,15,16.8661,96.1951
565-17-3836,A,仰光,会员,女性,健康与美容,47.67,4,9.533999999999999,200.21400000000003,14:21,现金,190.68,9.533999999999999,9.1,2019-03-12,12,3,2019,14,16.8661,96.1951
498-41-1961,B,曼德勒,非会员,男性,健康与美容,66.68,5,16.67,350.07,18:01,现金,333.4,16.67,7.6,2019-02-20,20,2,2019,18,21.9588,96.0891
593-95-4461,C,内比都,会员,男性,生活家居,74.86,1,3.7430000000000003,78.60300000000001,14:49,现金,74.86,3.7430000000000003,6.9,2019-03-24,24,3,2019,14,19.7633,96.0785
226-71-3580,C,内比都,非会员,女性,运动与旅行,23.75,9,10.6875,224.4375,12:02,现金,213.75,10.6875,9.5,2019-01-31,31,1,2019,12,19.7633,96.0785
283-79-9594,B,曼德勒,非会员,女性,饮食,48.51,7,16.9785,356.5485,13:30,信用卡,339.57,16.9785,5.2,2019-01-25,25,1,2019,13,21.9588,96.0891
430-60-3493,A,仰光,会员,女性,生活家居,94.88,7,33.208,697.368,14:38,现金,664.16,33.208,4.2,2019-02-03,3,2,2019,14,16.8661,96.1951
139-20-0155,B,曼德勒,会员,男性,电子配件,40.3,10,20.15,423.15,17:37,信用卡,403.0,20.15,7.0,2019-01-24,24,1,2019,17,21.9588,96.0891
558-80-4082,C,内比都,非会员,男性,电子配件,27.85,7,9.7475,204.6975,17:20,电子钱包,194.95,9.7475,6.0,2019-03-14,14,3,2019,17,19.7633,96.0785
278-97-7759,A,仰光,会员,女性,电子配件,62.48,1,3.1239999999999997,65.604,20:29,现金,62.48,3.1239999999999997,4.7,2019-02-18,18,2,2019,20,16.8661,96.1951
316-68-6352,A,仰光,会员,女性,饮食,36.36,2,3.636,76.35600000000001,10:00,现金,72.72,3.636,7.1,2019-01-21,21,1,2019,10,16.8661,96.1951
585-03-5943,B,曼德勒,非会员,男性,健康与美容,18.11,10,9.055,190.155,11:46,电子钱包,181.1,9.055,5.9,2019-03-13,13,3,2019,11,21.9588,96.0891
211-05-0490,C,内比都,会员,女性,电子配件,51.92,5,12.98,272.58,13:42,现金,259.6,12.98,7.5,2019-03-03,3,3,2019,13,19.7633,96.0785
727-75-6477,C,内比都,非会员,男性,电子配件,28.84,4,5.768,121.12799999999999,14:44,现金,115.36,5.768,6.4,2019-03-29,29,3,2019,14,19.7633,96.0785
744-02-5987,A,仰光,会员,男性,生活家居,78.38,6,23.514,493.79400000000004,14:16,电子钱包,470.28,23.514,5.8,2019-01-10,10,1,2019,14,16.8661,96.1951
307-83-9164,A,仰光,会员,男性,生活家居,60.01,4,12.002,252.042,15:54,现金,240.04,12.002,4.5,2019-01-25,25,1,2019,15,16.8661,96.1951
779-06-0012,C,内比都,会员,女性,生活家居,88.61,1,4.4305,93.0405,10:21,现金,88.61,4.4305,7.7,2019-01-19,19,1,2019,10,19.7633,96.0785
446-47-6729,C,内比都,非会员,男性,时尚配饰,99.82,2,9.982000000000001,209.622,18:09,信用卡,199.64,9.982000000000001,6.7,2019-01-02,2,1,2019,18,19.7633,96.0785
573-10-3877,B,曼德勒,会员,男性,健康与美容,39.01,1,1.9505,40.9605,16:46,信用卡,39.01,1.9505,4.7,2019-03-12,12,3,2019,16,21.9588,96.0891
735-06-4124,C,内比都,非会员,男性,饮食,48.61,1,2.4305,51.0405,15:31,现金,48.61,2.4305,4.4,2019-02-25,25,2,2019,15,19.7633,96.0785
439-54-7422,A,仰光,非会员,女性,电子配件,51.19,4,10.238,214.998,17:15,信用卡,204.76,10.238,4.7,2019-03-18,18,3,2019,17,16.8661,96.1951
396-90-2219,B,曼德勒,非会员,女性,电子配件,14.96,8,5.984,125.664,12:29,现金,119.68,5.984,8.6,2019-02-23,23,2,2019,12,21.9588,96.0891
411-77-0180,A,仰光,会员,男性,电子配件,72.2,7,25.27,530.67,20:14,电子钱包,505.4,25.27,4.3,2019-03-26,26,3,2019,20,16.8661,96.1951
286-01-5402,A,仰光,非会员,女性,运动与旅行,40.23,7,14.0805,295.6905,13:22,现金,281.61,14.0805,9.6,2019-03-30,30,3,2019,13,16.8661,96.1951
803-17-8013,A,仰光,会员,女性,生活家居,88.79,8,35.516,745.836,17:09,现金,710.32,35.516,4.1,2019-02-17,17,2,2019,17,16.8661,96.1951
512-98-1403,A,仰光,会员,女性,电子配件,26.48,3,3.972,83.412,10:40,电子钱包,79.44,3.972,4.7,2019-03-21,21,3,2019,10,16.8661,96.1951
848-42-2560,A,仰光,非会员,女性,时尚配饰,81.91,2,8.191,172.011,17:43,现金,163.82,8.191,7.8,2019-03-05,5,3,2019,17,16.8661,96.1951
532-59-7201,B,曼德勒,会员,男性,运动与旅行,79.93,6,23.979,503.559,14:04,现金,479.58,23.979,5.5,2019-01-31,31,1,2019,14,21.9588,96.0891
